design,format,name,status,app_routes,source,agree,stones,positions,from_codes
0085,001,Flower Fairy(Rose),stock,M,other route (U),NO,8,1x #8641 1h 2012 + 3x chaton 18 + 4x octagon 2h 14,U0085-001-C01 U0085-001-CC1 U0085-001-CGR U0085-001-CM1 …
0111,001,B-fly Fairy(Ribbon),stock,D,other route (U),yes,4,4x octagon 2h 14,U0111-001-C01 U0111-001-CGO U0111-001-CM1000P22 U0111-001-CMX …
0114,001,Butterfly,stock,D,other route (U),yes,4,4x octagon 2h 14,U0114-001-CGO000P22 U0114-001-CGR U0114-001-GCL U0114-001-GDB
0115,001,Comma Butterfly,stock,D,other route (U),yes,4,4x octagon 2h 14,U0115-001-AMX U0115-001-CGR U0115-001-CM1 U0115-001-CM4 …
0123,001,Fruit - Apple,stock,D,other route (U),yes,10,4x chaton 18 + 4x chaton 26 + 2x octagon 2h 14,U0123-001-CLP
0145,001,Coffee Pot,stock,D,other route (U),NO,4,4x octagon 2h 14,U0145-001-ATO U0145-001-CGO U0145-001-CLP U0145-001-CPU …
0160,001,,active,D,other route (U),yes,9,9x octagon 2h 14,U0160-001-AMX U0160-001-CBL U0160-001-CGO U0160-001-CGR …
0226,163,Pocket - Sweetie Angel - Metal Bookmark,stock,D,other route (U),yes,1,1x octagon 2h 14,U0226-163-CABA U0226-163-CBLA U0226-163-CGRA U0226-163-CPIA …
0230,001,Mini Heart (Birthstone),stock,D,other route (U),NO,2,1x chaton 26 + 1x octagon 2h 14,U0230-001-CAB010 U0230-001-CC1000 U0230-001-CC1004 U0230-001-CDB009 …
0253,001,Bull,stock,D,other route (U),yes,2,1x chaton 26 + 1x octagon 2h 14,U0253-001-CAB U0253-001-CBL U0253-001-CC1 U0253-001-CCL …
0269,163,Pocket - Tropical Fish - Metal Bookmark,stock,D,other route (U),yes,1,1x octagon 2h 14,U0269-163-CABA U0269-163-CREA U0269-163-GABA U0269-163-GEMA …
0274,163,Pocket - Elephant - Metal Bookmark,stock,D,other route (U),yes,1,1x octagon 2h 14,U0274-163-CBLA U0274-163-CLP U0274-163-CLPA U0274-163-CPIA …
0278,163,Pocket - Teddy Bear - Metal Bookmark,stock,D,other route (U),yes,1,1x octagon 2h 14,U0278-163-CAB U0278-163-CABA U0278-163-CABA000W25 U0278-163-CABG …
0286,175,Pocket - Sea Shell - Letter Opener,stock,D,other route (U),yes,2,1x chaton 26 + 1x octagon 2h 14,U0286-175-CABA U0286-175-CDB U0286-175-CDBA U0286-175-GC1A
0289,175,Pocket - Angel - Letter Opener,stock,D,other route (U),yes,2,1x chaton 26 + 1x octagon 2h 14,U0289-175-CBL U0289-175-CBLA U0289-175-CC1A
0290,175,Pocket - Heart - Letter Opener,stock,D,other route (U),yes,2,1x chaton 26 + 1x octagon 2h 14,U0290-175-CRE U0290-175-CREA U0290-175-GREA
0291,163,Pocket - Swing - Metal Bookmark,stock,D,other route (U),yes,1,1x octagon 2h 14,U0291-163-CC1A000W25 U0291-163-CREA U0291-163-GDBA
0291,175,Pocket - Swing - Letter Opener,stock,D,other route (U),yes,2,1x chaton 26 + 1x octagon 2h 14,U0291-175-CC1A U0291-175-GGTA
0292,175,Pocket - Butterfly - Letter Opener,stock,D,other route (U),yes,2,1x chaton 26 + 1x octagon 2h 14,U0292-175-CPIA U0292-175-GPU U0292-175-GPUA
0325,163,Pocket - Thorns Cross - Metal Bookmark,stock,D,other route (U),yes,1,1x octagon 2h 14,U0325-163-CABA U0325-163-CBLA U0325-163-CGRA U0325-163-CPIA …
0339,001,Pocket - Rose,stock,D,other route (U),yes,1,1x octagon 2h 14,U0339-001-CPI U0339-001-CVL U0339-001-CVLE U0339-001-GC1 …
0355,001,Mini Rose Freestand,active,AD,other route (U),yes,1,1x octagon 2h 14,U0355-001-AJTQ244 U0355-001-AJTQ249 U0355-001-APUH03S35 U0355-001-APUQ250S35 …
0366,164,,stock,D,other route (U),NO,6,6x octagon 2h 14,U0366-164-ACLG U0366-164-AG1G U0366-164-AG2 U0366-164-AG2G …
0368,164,,stock,D,other route (U),yes,21,13x chaton 18 + 4x chaton 26 + 4x octagon 2h 14,U0368-164-AGX U0368-164-AGXG U0368-164-AGXG000P22 U0368-164-AJT …
0377,001,Blooming Heart,stock,D,other route (U),yes,11,10x chaton 26 + 1x octagon 2h 14,U0377-001-GAB U0377-001-GCL U0377-001-GRE
0377,163,Blooming Heart - Metal Bookmark,stock,D,other route (U),NO,11,10x chaton 26 + 1x octagon 2h 14,U0377-163-AABA U0377-163-AEMA U0377-163-AGOA U0377-163-ALPA …
0378,001,Love Drop,stock,H,other route (U),NO,7,1x #6228 14 + 6x chaton 26,U0378-001-C01924 U0378-001-G01924 U0378-001-GCL U0378-001-GMX
0380,001,Sweet Heart,stock,D,other route (U),NO,4,3x chaton 26 + 1x octagon 2h 14,U0380-001-GCL U0380-001-GPI
0383,001,Duckling,stock,D,other route (U),yes,1,1x octagon 2h 14,U0383-001-CGO U0383-001-GGO
0383,165,,stock,D,other route (U),NO,9,5x chaton 18 + 3x chaton 26 + 1x octagon 2h 14,U0383-165-CAB U0383-165-CABK U0383-165-CBL U0383-165-CBLG …
0384,165,,stock,D,other route (U),NO,9,6x chaton 18 + 2x chaton 26 + 1x octagon 2h 14,U0384-165-C01K U0384-165-CABG U0384-165-CABK U0384-165-CBLK …
0386,165,,stock,D,other route (U),NO,10,9x chaton 18 + 1x octagon 2h 14,U0386-165-AABK U0386-165-ABLK U0386-165-AC1K U0386-165-ADBK …
0466,001,Pocket - Plum Flower,stock,D,other route (U),yes,5,4x chaton 18 + 1x octagon 2h 14,U0466-001-GRE
0558,001,Mini Rose Freestand with Heart Plaque,active,AD,other route (U),yes,1,1x octagon 2h 14,U0558-001-CPI233 U0558-001-CPI238 U0558-001-CPI245 U0558-001-CPI246 …
0562,001,Mini Double Roses Freestand with Plaque,active,AD,other route (U),yes,2,2x octagon 2h 14,U0562-001-CAB245 U0562-001-CAB249 U0562-001-CAB264 U0562-001-CAB2AD …
A061,231,Crystal Heart (40mm) Mobile Freestand with Plaque Clear,active,UA,other route (U),yes,2,2x octagon 2h 14,UA061-231-CBL203 UA061-231-CC1206 UA061-231-CC12AV UA061-231-CGO208 …
A062,224,Crystal Teddy Bear Freestand with Red Heart Crystal,active,UA,other route (U),yes,2,2x chaton 26,UA062-224-CBL2D2 UA062-224-CC12D4 UA062-224-CC12D5 UA062-224-CPI204 …
